,Link,Preco,Localizacao,Area_Util_m2,Quartos,Suites,Vagas_Garagem
389,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-103-1198489,2490000.0,BRASÍLIA - SUDOESTE,194,4.0,3.0,2.0
390,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-314-bloco-i-1192254,1450000.0,BRASÍLIA - ASA NORTE,107,3.0,1.0,1.0
391,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-705-bloco-a-1193565,1360000.0,BRASÍLIA - ASA NORTE,184,2.0,2.0,1.0
392,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-109-bloco-j-1190234,2090000.0,BRASÍLIA - NOROESTE,157,2.0,2.0,3.0
393,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-504-1196391,1690000.0,BRASÍLIA - SUDOESTE,130,4.0,1.0,2.0
394,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-311-bloco-j-1148621,4500000.0,BRASÍLIA - NOROESTE,303,3.0,3.0,4.0
395,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-lago-norte-brasilia-df-ca-05-1190242,540000.0,BRASÍLIA - LAGO NORTE,43,1.0,,1.0
396,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-sgan-912-1185339,315000.0,BRASÍLIA - ASA NORTE,25,1.0,,1.0
397,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-315-bloco-h-1160264,2800000.0,BRASÍLIA - ASA SUL,215,4.0,2.0,2.0
398,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-106-1187968,1890000.0,BRASÍLIA - ASA SUL,166,3.0,1.0,
399,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-110-1189807,3080000.0,BRASÍLIA - NOROESTE,223,4.0,4.0,2.0
